id;ELEVATION;NAME;FNAME;STATION_TYP;T;SRA;SCE;SCEa;SSV;P;F;RGLB;X;Y;nut3;nam
B2BOZI01;216;Boûice;Boûice;MSS;;SRA;SCE;;;;;;16.2881;48.8344;Jihomoravsky;Jihomoravsky/B2BOZI01
B2BRAS01;200;Braniöovice;Braniöovice;MSS;;SRA;SCE;;;;;;16.4353;48.9661;Jihomoravsky;Jihomoravsky/B2BRAS01
B2BRES01;387;B¯ezov· nad Svitavou;B¯ezov· nad Svitavou;MSS;;SRA;SCE;;;;;;16.5003;49.6597;Pardubicky;Pardubicky/B2BRES01
B2BROD01;177;Brod nad DyjÌ;Brod nad DyjÌ;AKS1;T;SRA;SCE;;SSV;;F;;16.5358;48.8733;Jihomoravsky;Jihomoravsky/B2BROD01
B2BRTN01;517;Brtnice;Brtnice;ASS;;SRA;SCE;;;;;;15.6753;49.3069;Vysocina;Vysocina/B2BRTN01
B2BTUR01;241;Brno;Brno, Tu¯any;AMS;T;SRA;SCE;;SSV;P;F;RGLB_D;16.688889;49.153056;Jihomoravsky;Jihomoravsky/B2BTUR01
B2BUCO01;238;BuËovice;BuËovice, KlobouËky;MSS;;SRA;SCE;;;;;;17.014033;49.129881;Jihomoravsky;Jihomoravsky/B2BUCO01
B2BUDI01;485;Budiöov;Budiöov;MSS;;SRA;SCE;;;;;;16.0039;49.2717;Vysocina;Vysocina/B2BUDI01
B2BUKA01;511;Bukovinka;Bukovinka;ASS;;SRA;SCE;;;;;;16.798889;49.296944;Jihomoravsky;Jihomoravsky/B2BUKA01
B2BYSP01;553;Byst¯ice nad Pernötejnem;Byst¯ice nad Pernötejnem;AKS1;T;SRA;SCE;;SSV;;F;;16.25401;49.52416;Vysocina;Vysocina/B2BYSP01
B2BZAB01;236;Brno;Brno, éabov¯esky;AKS1;T;SRA;SCE;;SSV;;F;;16.5677;49.2165;Jihomoravsky;Jihomoravsky/B2BZAB01
B2BZID01;200;Brno;Brno, éidenice;MSS;;SRA;SCE;;;;;;16.631111;49.1983;Jihomoravsky;Jihomoravsky/B2BZID01
B2CRUD01;520;»esk˝ Rudolec;»esk˝ Rudolec;ASS;;SRA;SCE;;;;;;15.322222;49.073333;Jihocesky;Jihocesky/B2CRUD01
B2DACI01;486;DaËice;DaËice;MSS;;SRA;SCE;;;;;;15.4344;49.0831;Jihocesky;Jihocesky/B2DACI01
B2DRNH01;210;Drnholec;Drnholec;MSS;;SRA;SCE;;;;;;16.48;48.8589;Jihomoravsky;Jihomoravsky/B2DRNH01
B2DUBN01;200;DubÚany;DubÚany;MSS;;SRA;SCE;;;;;;17.1028;48.9208;Jihomoravsky;Jihomoravsky/B2DUBN01
B2DUKO01;400.15;Dukovany;Dukovany;AMS1;T;SRA;SCE;;SSV;P;F;;16.134444;49.095556;Vysocina;Vysocina/B2DUKO01
B2DVES01;172;DolnÌ VÏstonice;DolnÌ VÏstonice;MSS;;SRA;SCE;;;;;;16.6414;48.8872;Jihomoravsky;Jihomoravsky/B2DVES01
B2DYJA01;201;Dyj·kovice;Dyj·kovice;AKS1;T;SRA;SCE;;SSV;;F;;16.2992;48.7733;Jihomoravsky;Jihomoravsky/B2DYJA01
B2DZBA01;337;Dûb·nice;Dûb·nice;ASS;;SRA;SCE;;;;;;16.2092;49.0028;Jihomoravsky;Jihomoravsky/B2DZBA01
B2HAJE01;409;Tiönov;Tiönov, H·jek;AKS2;T;SRA;SCE;;;;F;;16.4725;49.3731;Jihomoravsky;Jihomoravsky/B2HAJE01
B2HRAS01;446;Hradec nad Svitavou;Hradec nad Svitavou;ASS;;SRA;SCE;;;;;;16.4875;49.7311;Pardubicky;Pardubicky/B2HRAS01
B2HROT01;425;Hrotovice;Hrotovice;MSS;;SRA;SCE;;;;;;16.0588;49.1105;Vysocina;Vysocina/B2HROT01
B2HRUS01;174;Hruöky;Hruöky;MSS;;SRA;SCE;;;;;;16.9739;48.7919;Jihomoravsky;Jihomoravsky/B2HRUS01
B2HUBE01;570;Hubenov;Hubenov;AKS1;T;SRA;SCE;;SSV;;F;;15.4669;49.3931;Vysocina;Vysocina/B2HUBE01
B2HUST01;201;HustopeËe;HustopeËe;MSS;;SRA;SCE;;;;;;16.7258;48.9456;Jihomoravsky;Jihomoravsky/B2HUST01
B2HYSL01;217;H˝sly;H˝sly;MSS;;SRA;SCE;;;;;;17.18;49.021389;Jihomoravsky;Jihomoravsky/B2HYSL01
B2JARS01;190;Jaroslavice;Jaroslavice;MSS;;SRA;SCE;;;;;;16.2325;48.7553;Jihomoravsky;Jihomoravsky/B2JARS01
